"","year","lag.x","mse","date","ccpuef","cum_RUN","mid.run","est.total.run","remaining.run"
"5",2021,0,8.75617676257128e-05,"07/14",8300.74162169436,1393660,"07/29",12346223.6590081,10952564
"3",2015,0,9.97054500503264e-05,"07/14",16491.0266335876,1393660,"07/25",24528158.1410519,23134498
"2",2006,0,0.000277306022273653,"07/14",4755.62574179653,1393660,"07/24",7073346.180696,5679686
"4",2019,0,0.000347975844960912,"07/14",3920.0438780686,1393660,"07/21",5830531.85817405,4436872
"1",1994,0,0.000430474810313296,"07/14",3550.41914308759,1393660,"07/19",5280765.36067818,3887105
