"","date","year","mse","ccumCPUE.x","cum_RUN","ccpuef","pr","mid.run","est.total.run","remaining.run","ontime","timing","kenai.propleft","kasilof.propleft","acumRun_ke","remaining.ke","remaining.ka","run.ke"
"1",2022-07-11,2015,1.73963156289807e-05,734.69194544,943717,21780.7980773176,1284.50707246398,2022-07-25,27977589.1742243,27033872,2022-07-17,8,0.648672805766887,0.133932441886059,227220,17536137.6009829,3620712.49059515,17763357.6009829
"2",2022-07-11,2021,7.54521607577477e-05,734.69194544,943717,8899.87703787163,1284.50707246398,2022-07-29,11431954.9992059,10488238,2022-07-17,12,0.648672805766887,0.133932441886059,227220,6803434.77101088,1404715.32642215,7030654.77101088
"3",2022-07-11,1990,0.000177527976996228,734.69194544,943717,5956.86043966044,1284.50707246398,2022-07-18,7651629.36442472,6707912,2022-07-17,1,0.648672805766887,0.133932441886059,227220,4351240.09787737,898407.034116796,4578460.09787737
"4",2022-07-11,1987,0.000239557819126918,734.69194544,943717,4193.14827901819,1284.50707246398,2022-07-18,5386128.62028903,4442412,2022-07-17,1,0.648672805766887,0.133932441886059,227220,2881671.85641249,594983.08702393,3108891.85641249
"5",2022-07-11,2007,0.000242070759433492,734.69194544,943717,4163.58125997599,1284.50707246398,2022-07-19,5348149.57521765,4404433,2022-07-17,2,0.648672805766887,0.133932441886059,227220,2857035.91192227,589896.46681354,3084255.91192227
"6",2022-07-14,2021,8.74903082649312e-05,935.57362266,1393660,8288.39765512673,1489.63156532522,2022-07-29,12346658.7730443,10952999,2022-07-17,12,0.654241330243465,0.127343620864801,374972,7165904.63591534,1394794.55198855,7540876.63591534
"7",2022-07-14,2015,9.97638490034902e-05,935.57362266,1393660,16467.0163444553,1489.63156532522,2022-07-25,24529787.3334269,23136127,2022-07-17,8,0.654241330243465,0.127343620864801,374972,15136610.5051617,2946238.18496789,15511582.5051617
"8",2022-07-14,2006,0.000276851332890892,935.57362266,1393660,4748.51555362059,1489.63156532522,2022-07-24,7073538.65711098,5679879,2022-07-17,7,0.654241330243465,0.127343620864801,374972,3716011.59258192,723296.357933946,4090983.59258192
"9",2022-07-14,2019,0.00034762677904181,935.57362266,1393660,3914.21182970728,1489.63156532522,2022-07-21,5830733.49490133,4437073,2022-07-17,4,0.654241330243465,0.127343620864801,374972,2902916.54190736,565032.941861446,3277888.54190736
"10",2022-07-14,1994,0.000429860174551109,935.57362266,1393660,3545.12434121132,1489.63156532522,2022-07-19,5280929.12167116,3887269,2022-07-17,2,0.654241330243465,0.127343620864801,374972,2543212.04157418,495018.909735495,2918184.04157418
"11",2022-07-15,2021,8.20216068711721e-05,1164.64988156,1393660,8253.22431919404,1196.63430363574,2022-07-29,9876091.33594833,8482431,2022-07-17,12,0.654949897474471,0.12461539497865,374972,5555567.31378427,1057041.48944415,5930539.31378427
"12",2022-07-15,2015,0.000130812634653709,1164.64988156,1393660,15160.6116428803,1196.63430363574,2022-07-25,18141707.95597,16748048,2022-07-17,8,0.654949897474471,0.12461539497865,374972,10969132.3204975,2087064.61664139,11344104.3204975
"13",2022-07-15,2006,0.000267862521731835,1164.64988156,1393660,4808.39292963604,1196.63430363574,2022-07-24,5753887.92496205,4360228,2022-07-17,7,0.654949897474471,0.12461539497865,374972,2855730.88156532,543351.53441697,3230702.88156532
"14",2022-07-15,2019,0.000325266326297769,1164.64988156,1393660,3926.03312700566,1196.63430363574,2022-07-21,4698025.91698527,3304366,2022-07-17,4,0.654949897474471,0.12461539497865,374972,2164194.17291813,411774.874244023,2539166.17291813
"15",2022-07-15,1994,0.000411333558235215,1164.64988156,1393660,3579.5480058134,1196.63430363574,2022-07-19,4283409.93526722,2889750,2022-07-17,2,0.654949897474471,0.12461539497865,374972,1892641.46622685,360107.337639555,2267613.46622685
"16",2022-07-16,2021,7.6946432670187e-05,1340.18801106,1560749,8265.29496619883,1164.5746620025,2022-07-29,9625553.09161195,8064804,2022-07-17,12,0.650231128610631,0.119800848529801,444351,5243986.60694353,966170.362426537,5688337.60694353
"17",2022-07-16,2015,0.000168022832121504,1340.18801106,1560749,14039.0342318862,1164.5746620025,2022-07-25,16349503.5454403,14788755,2022-07-17,8,0.650231128610631,0.119800848529801,444351,9616108.85439611,1771705.39769934,10060459.8543961
"18",2022-07-16,2006,0.000276352234587449,1340.18801106,1560749,4900.98330541316,1164.5746620025,2022-07-24,5707560.97638142,4146812,2022-07-17,7,0.650231128610631,0.119800848529801,444351,2696386.24689611,496791.596293563,3140737.24689611
"19",2022-07-16,2019,0.00031650847954382,1340.18801106,1560749,3967.47830186456,1164.5746620025,2022-07-21,4620424.70239617,3059676,2022-07-17,4,0.650231128610631,0.119800848529801,444351,1989496.57866286,366551.781026269,2433847.57866286
"20",2022-07-16,1994,0.000422691363707125,1340.18801106,1560749,3641.62440298826,1164.5746620025,2022-07-19,4240943.5082501,2680195,2022-07-17,2,0.650231128610631,0.119800848529801,444351,1742746.21974657,321089.635225331,2187097.21974657
"21",2022-07-17,2021,7.26111475018865e-05,1482.08801106,1865965,8244.7101690761,1259.01092652753,2022-07-29,10380180.1889195,8514215,2022-07-17,12,0.646287463788199,0.117712888326554,444351,5502630.41849744,1002232.83948327,5946981.41849744
"22",2022-07-17,2015,0.000227328621255857,1482.08801106,1865965,12990.445351222,1259.01092652753,2022-07-25,16355112.6376473,14489148,2022-07-17,8,0.646287463788199,0.117712888326554,444351,9364154.71337185,1705559.46047091,9808505.71337185
"23",2022-07-17,2006,0.000280149745904919,1482.08801106,1865965,4976.47944169444,1259.01092652753,2022-07-24,6265441.99273294,4399477,2022-07-17,7,0.646287463788199,0.117712888326554,444351,2843326.83232451,517875.144796241,3287677.83232451
"24",2022-07-17,2019,0.000306485575962541,1482.08801106,1865965,3999.63622853618,1259.01092652753,2022-07-21,5035585.71386243,3169621,2022-07-17,4,0.646287463788199,0.117712888326554,444351,2048486.31725981,373105.242810499,2492837.31725981
"25",2022-07-17,1987,0.000424200450645366,1482.08801106,1865965,3664.67571642072,1259.01092652753,2022-07-18,4613866.7691538,2747902,2022-07-17,1,0.646287463788199,0.117712888326554,444351,1775934.61431852,323463.481258313,2220285.61431852
"26",2022-07-18,2021,6.87629284700943e-05,1658.58801106,2361338,8226.50560225449,1423.7037674539,2022-07-29,11712107.0189104,9350769,2022-07-17,12,0.646918332215095,0.115655352662424,670690,6049183.88640861,1081466.48635986,6719873.88640861
"27",2022-07-18,2006,0.000290923352461934,1658.58801106,2361338,5056.91334748438,1423.7037674539,2022-07-24,7199546.58450145,4838209,2022-07-17,7,0.646918332215095,0.115655352662424,670690,3129926.09718806,559564.768149513,3800616.09718806
"28",2022-07-18,2019,0.00030571719228115,1658.58801106,2361338,4040.21611978117,1423.7037674539,2022-07-21,5752070.91106045,3390733,2022-07-17,4,0.646918332215095,0.115655352662424,670690,2193527.33734669,392156.420899119,2864217.33734669
"29",2022-07-18,2015,0.000308110604259707,1658.58801106,2361338,12048.3482043789,1423.7037674539,2022-07-25,17153278.7301708,14791941,2022-07-17,8,0.646918332215095,0.115655352662424,670690,9569177.80194409,1710767.15291677,10239867.8019441
"30",2022-07-18,1987,0.000401175310320784,1658.58801106,2361338,3658.53093518097,1423.7037674539,2022-07-18,5208664.2757638,2847326,2022-07-17,1,0.646918332215095,0.115655352662424,670690,1841987.38719268,329308.492674889,2512677.38719268
"31",2022-07-19,2021,7.21075297468864e-05,1762.08801106,2680915,8131.19904449154,1521.44216586961,2022-07-29,12371149.0853681,9690234,2022-07-17,12,0.645251228561108,0.113654044963196,769320,6252635.39354462,1101334.29073989,7021955.39354462
